GRID,CITY,ZONE_CONTROL
JL35,Lubeck,Contested
LU95,Kiel,Lost
WM7,Tallinn,Neutral
HM16,Wismar,Lost
BK37,Malmo,Lost
BN98,Stettin,Contested
KJ25,Rotterdam,Contested
FD20,Malmo,Contested
EG16,Kiel,Contested
ST36,Gdansk,Held
MZ44,Bremen,Lost
YY32,Antwerp,Held
TK31,Brest,Lost
PR20,Malmo,Held
YG11,Hamburg,Lost
AM68,Ostend,Neutral
NS6,Gdansk,Contested
GA36,Hamburg,Contested
LR8,Brest,Neutral
YH9,Gdansk,Lost
KJ33,Aarhus,Contested
DS19,Tallinn,Neutral
QW86,Bergen,Held
SF25,Aarhus,Neutral
TT51,Tallinn,Neutral
BU76,Hamburg,Lost
NA95,Memel,Held
KF6,Wismar,Lost
UN68,Gdansk,Neutral
HK21,Cherbourg,Contested
VJ83,Cherbourg,Lost
DF57,Calais,Contested
YS25,Riga,Lost
KC85,Riga,Contested
AC7,Narvik,Contested
SL87,Malmo,Lost
SC87,Hamburg,Contested
QC24,Aarhus,Held
KW13,Stettin,Contested
QS24,Calais,Lost
CS75,Wismar,Contested
QD31,Antwerp,Contested
GV23,Brest,Lost
VS12,Gdansk,Contested
PY18,Malmo,Contested
YB37,Aarhus,Neutral
KA8,Tallinn,Neutral
MY59,Tallinn,Contested
ZJ71,Narvik,Held
KX19,Rotterdam,Neutral
JZ93,Ostend,Held
YB21,Hamburg,Held
QD30,Tallinn,Neutral
LY29,Riga,Contested
QN29,Ostend,Lost
SF95,Calais,Neutral
PJ8,Gdansk,Contested
AN95,Gdansk,Neutral
CC13,Rotterdam,Contested
PL38,Calais,Contested
CU44,Gdansk,Lost
WU20,Calais,Held
BJ27,Bergen,Lost
TJ9,Lubeck,Held
YZ59,Wismar,Contested
YV23,Aarhus,Held
ZE76,Gdansk,Neutral
CF12,Memel,Lost
PV74,Brest,Contested
XT84,Hamburg,Held
ZW96,Stettin,Lost
YY99,Lubeck,Contested
GH28,Cherbourg,Lost
BH79,Brest,Neutral
NA9,Memel,Contested
HR54,Stettin,Held
GV49,Lubeck,Contested
TW11,Cherbourg,Contested
LH61,Cherbourg,Held
YP70,Calais,Contested
YW53,Ostend,Contested
CK60,Narvik,Held
TW73,Gdansk,Neutral
JU28,Riga,Lost
JX16,Riga,Lost
CB76,Antwerp,Lost
XB96,Gdansk,Lost
QT75,Bremen,Contested
MH74,Kiel,Neutral
PX39,Stettin,Held
NF82,Cherbourg,Contested
FG33,Rotterdam,Neutral
BG78,Bremen,Contested
AU27,Bremen,Contested
UR40,Brest,Held
MY5,Narvik,Lost
RC24,Bergen,Contested
MV8,Memel,Neutral
RA4,Ostend,Held
VT79,Tallinn,Lost
RQ76,Tallinn,Contested
CF21,Brest,Lost
UZ63,Bergen,Held
WQ65,Stettin,Contested
MJ70,Aarhus,Contested
AH65,Brest,Neutral
DF6,Memel,Held
TX18,Gdansk,Contested
DF82,Stettin,Contested
RC40,Lubeck,Contested
HP84,Kiel,Lost
CY21,Stettin,Contested
XB70,Antwerp,Held
XX3,Lubeck,Neutral
UT41,Malmo,Lost
RB81,Cherbourg,Held
WW96,Wismar,Contested
AJ74,Rotterdam,Neutral
ZK32,Hamburg,Held
FA40,Bremen,Contested
JE60,Bergen,Lost
RJ74,Bremen,Neutral
BT47,Cherbourg,Held
FC69,Brest,Neutral
KK62,Antwerp,Held
UT29,Brest,Held
TZ83,Wismar,Contested
SF98,Cherbourg,Neutral
GM36,Hamburg,Held
XW32,Calais,Contested
XY32,Riga,Lost
QW2,Cherbourg,Contested
BN14,Narvik,Held
LY4,Brest,Contested
GR69,Malmo,Lost
JH22,Brest,Held
WN54,Brest,Lost
HJ1,Riga,Contested
NE43,Lubeck,Lost
EU22,Kiel,Lost
HJ97,Riga,Contested
TZ70,Memel,Held
ZH97,Memel,Neutral
UT85,Brest,Neutral
SX29,Wismar,Lost
QE71,Ostend,Held
TF6,Kiel,Contested
CJ6,Tallinn,Lost
KH93,Cherbourg,Lost
UT76,Lubeck,Held
GJ76,Ostend,Held
DD97,Calais,Held
SY17,Bremen,Neutral
VK17,Narvik,Neutral
QB16,Stettin,Contested
VW83,Lubeck,Neutral
KY67,Cherbourg,Contested
MW41,Narvik,Neutral
UZ12,Hamburg,Neutral
PF4,Calais,Contested
AF50,Memel,Held
SZ6,Calais,Neutral
ZJ1,Hamburg,Contested
DD55,Rotterdam,Contested
MN86,Ostend,Held
YZ50,Rotterdam,Neutral
RR27,Hamburg,Lost
TE29,Brest,Held
QE38,Tallinn,Held
PB30,Calais,Held
SU37,Hamburg,Held
TA44,Bergen,Neutral
RL31,Cherbourg,Lost
YX51,Gdansk,Held
SQ72,Malmo,Held
LU57,Bergen,Contested
YV9,Ostend,Held
ZZ61,Cherbourg,Lost
NP47,Antwerp,Neutral
TL98,Wismar,Neutral
BR19,Calais,Lost
FR96,Lubeck,Held
NS77,Memel,Lost
EF41,Wismar,Lost
PK31,Cherbourg,Held
XZ35,Bremen,Neutral
VN81,Stettin,Contested
ZZ92,Cherbourg,Held
SR15,Ostend,Lost
MV62,Hamburg,Lost
SP20,Rotterdam,Lost
GF60,Stettin,Held
JC45,Bergen,Held
WS89,Memel,Lost
YN67,Cherbourg,Contested
JY33,Gdansk,Held
NW59,Riga,Contested
JJ85,Kiel,Lost
PS63,Lubeck,Contested
WF28,Antwerp,Lost
TN77,Lubeck,Neutral
BL91,Rotterdam,Neutral
CC57,Narvik,Neutral
AJ18,Antwerp,Lost
TN4,Bergen,Contested
KV55,Cherbourg,Lost
ZA58,Antwerp,Held
ZC44,Bremen,Held
GZ33,Hamburg,Lost
KH6,Aarhus,Lost
SH50,Bremen,Neutral
HK38,Rotterdam,Neutral
SQ26,Bergen,Lost
JW68,Kiel,Neutral
UR17,Wismar,Lost
MG99,Kiel,Held
NQ3,Tallinn,Neutral
EK30,Hamburg,Contested
CZ63,Malmo,Held
FW90,Gdansk,Neutral
AP52,Cherbourg,Contested
BH82,Bremen,Lost
GM20,Memel,Lost
DB93,Brest,Lost
ZE85,Hamburg,Contested
UB53,Brest,Neutral
TS3,Calais,Held
GW8,Bremen,Lost
DS21,Brest,Neutral
GU92,Gdansk,Neutral
RM1,Memel,Lost
KQ57,Tallinn,Lost
LK63,Brest,Held
QN28,Kiel,Contested
YM78,Calais,Contested
HB83,Brest,Contested
FN94,Gdansk,Lost
NA40,Calais,Lost
RN67,Gdansk,Lost
VH12,Ostend,Contested
HV16,Antwerp,Neutral
RJ30,Brest,Held
SJ96,Riga,Contested
BN58,Bergen,Neutral
CL1,Kiel,Lost
EZ91,Lubeck,Lost
VV34,Cherbourg,Lost
CF97,Bremen,Contested
LG54,Ostend,Neutral
MA61,Memel,Lost
XG39,Lubeck,Neutral
CK95,Wismar,Contested
UG86,Wismar,Lost
ST4,Riga,Neutral
YR13,Aarhus,Contested
ZL59,Calais,Contested
LQ21,Memel,Contested
RQ55,Lubeck,Lost
JA92,Aarhus,Lost
AD66,Malmo,Neutral
EL79,Kiel,Neutral
BT76,Riga,Contested
US27,Brest,Neutral
JN58,Brest,Held
LR82,Riga,Held
MH75,Memel,Held
SS57,Antwerp,Contested
BD87,Gdansk,Contested
FM13,Antwerp,Contested
XM39,Narvik,Contested
JF39,Cherbourg,Held
JL31,Bremen,Lost
JE12,Riga,Neutral
CS35,Wismar,Held
RL98,Wismar,Neutral
WT30,Aarhus,Contested
RN99,Stettin,Neutral
ZC22,Malmo,Contested
AE43,Kiel,Held
HE50,Wismar,Held
KQ85,Ostend,Lost
XG57,Bergen,Contested
BV33,Riga,Held
LB57,Calais,Contested
PG40,Wismar,Held
UE35,Narvik,Held
PD95,Hamburg,Held
HY40,Aarhus,Lost
ZC52,Riga,Lost
XQ90,Bergen,Lost
MD8,Antwerp,Neutral
LK17,Kiel,Held
FV28,Cherbourg,Contested
GK51,Cherbourg,Neutral
MF78,Bremen,Lost
XK80,Brest,Lost
NQ15,Malmo,Neutral
CW96,Stettin,Contested
WA51,Stettin,Held
FL56,Lubeck,Contested
XU13,Riga,Lost
LC62,Stettin,Contested
LY42,Riga,Neutral
WV99,Bremen,Neutral
XQ9,Narvik,Held
YQ45,Calais,Contested
KZ84,Narvik,Lost
PH7,Wismar,Neutral
GF82,Bremen,Lost
LC18,Rotterdam,Neutral
GG18,Kiel,Lost
UX93,Bremen,Neutral
MQ35,Bergen,Contested
DX65,Brest,Neutral
NA47,Rotterdam,Contested
YJ34,Narvik,Contested
DZ26,Calais,Held
JK80,Brest,Contested
SA26,Tallinn,Contested
GL97,Brest,Held
GU82,Calais,Held
ZS57,Calais,Lost
QM37,Cherbourg,Lost
HC95,Malmo,Lost
GH9,Tallinn,Contested
JG72,Cherbourg,Contested
AG29,Rotterdam,Held
QM77,Hamburg,Neutral
BN12,Riga,Lost
MC41,Rotterdam,Neutral
VT36,Brest,Contested
HZ33,Rotterdam,Held
SE39,Riga,Held
TQ26,Lubeck,Lost
PB84,Hamburg,Lost
US39,Hamburg,Held
AB26,Narvik,Lost
QZ64,Cherbourg,Contested
NX51,Malmo,Neutral
GS50,Ostend,Neutral
VC58,Malmo,Held
NP43,Riga,Neutral
EQ60,Stettin,Held
AP97,Wismar,Held
LF46,Hamburg,Contested
HB19,Brest,Neutral
MR18,Kiel,Contested
TM84,Ostend,Held
WJ18,Stettin,Contested
PY8,Riga,Lost
RS32,Kiel,Neutral
MP87,Hamburg,Lost
DA96,Riga,Neutral
JQ8,Lubeck,Held
WP85,Stettin,Lost
LU58,Bremen,Lost
QA78,Calais,Held
RP50,Wismar,Held
YV9,Memel,Lost
QU88,Stettin,Contested
KB41,Gdansk,Neutral
YZ80,Aarhus,Contested
EP12,Hamburg,Contested
EX45,Bremen,Contested
YN66,Ostend,Held
EQ33,Antwerp,Lost
MB53,Gdansk,Contested
HN55,Gdansk,Lost
AG20,Tallinn,Held
BW47,Hamburg,Contested
WR39,Rotterdam,Lost
PG70,Memel,Lost
NN87,Aarhus,Contested
SK30,Calais,Contested
VY18,Aarhus,Contested
KZ87,Ostend,Neutral
SE49,Bremen,Neutral
VV68,Wismar,Lost
WL48,Kiel,Contested
ZL2,Hamburg,Neutral
FF15,Malmo,Held
ZQ30,Riga,Neutral
LE97,Brest,Neutral
QM32,Riga,Held
YK84,Bremen,Lost
XW31,Aarhus,Lost
GW44,Memel,Neutral
WZ2,Wismar,Neutral
PM45,Calais,Contested
EG61,Riga,Lost
BB35,Stettin,Held
CX71,Riga,Held
TK87,Tallinn,Neutral
YY67,Antwerp,Lost
YY57,Ostend,Contested
EG7,Kiel,Contested
GP69,Gdansk,Contested
DA42,Tallinn,Held
AU62,Narvik,Contested
UW28,Antwerp,Lost
WH20,Riga,Held
AD94,Cherbourg,Contested
KR95,Bremen,Neutral
GW89,Bremen,Held
TL60,Bremen,Held
YC45,Tallinn,Held
VX63,Calais,Neutral
GS93,Wismar,Held
WJ54,Wismar,Neutral
UM72,Rotterdam,Neutral
VE12,Stettin,Held
BL75,Malmo,Lost
ZY73,Hamburg,Neutral
AS52,Wismar,Lost
DB66,Lubeck,Contested
RH74,Narvik,Lost
