SECTOR,LAT,LON,CITY,TARGET_FACILITY,RISK_LEVEL
SEC-81,40.84,1.55,Copenhagen,Railway Junction,High
SEC-14,45.98,16.19,Berlin,Supply Depot,Low
SEC-12,36.85,23.81,Madrid,Supply Depot,Medium
SEC-39,43.60,6.76,Paris,Communications Tower,Medium
SEC-55,41.44,24.90,Brussels,Power Grid Substation,High
SEC-46,42.46,23.31,Prague,Power Grid Substation,Low
SEC-59,53.08,-9.69,Copenhagen,Railway Junction,Low
SEC-50,54.47,16.34,Zurich,Railway Junction,Low
SEC-75,44.30,1.17,Madrid,Supply Depot,High
SEC-78,50.77,0.80,Madrid,Communications Tower,Medium
SEC-24,53.94,0.48,London,Railway Junction,Low
SEC-32,44.39,1.15,Rome,Supply Depot,Extreme
SEC-87,48.57,4.47,Vienna,Railway Junction,High
SEC-66,39.21,-4.10,Prague,Supply Depot,High
SEC-31,59.74,-5.84,Vienna,Supply Depot,Low
SEC-27,46.85,23.95,Paris,Communications Tower,High
SEC-52,42.35,16.34,Copenhagen,Railway Junction,High
SEC-81,46.49,8.88,Rome,Communications Tower,Low
SEC-46,49.85,-8.01,Brussels,Power Grid Substation,Extreme
SEC-46,39.47,21.12,Copenhagen,Railway Junction,Extreme
SEC-54,47.92,18.33,Warsaw,Railway Junction,Medium
SEC-59,52.79,24.47,Zurich,Water Treatment Plant,High
SEC-66,43.89,20.85,Geneva,Water Treatment Plant,Extreme
SEC-12,43.17,21.60,Warsaw,Railway Junction,Medium
SEC-89,46.85,29.00,Copenhagen,Railway Junction,Medium
SEC-60,55.78,17.98,Paris,Supply Depot,Low
SEC-12,42.41,27.25,Brussels,Communications Tower,Low
SEC-27,36.58,-4.26,Prague,Communications Tower,High
SEC-55,41.57,-8.33,Berlin,Railway Junction,Low
SEC-12,52.50,15.42,Warsaw,Power Grid Substation,High
SEC-86,38.58,-1.34,Prague,Water Treatment Plant,High
SEC-28,38.16,2.22,London,Embassy Annex,Medium
SEC-19,56.17,-2.19,Berlin,Power Grid Substation,Low
SEC-88,44.97,26.18,Berlin,Water Treatment Plant,Extreme
SEC-90,55.44,-9.47,Warsaw,Railway Junction,Extreme
SEC-32,54.76,8.84,Zurich,Water Treatment Plant,Low
SEC-87,52.02,13.55,Paris,Railway Junction,Low
SEC-97,48.35,10.27,Paris,Communications Tower,Low
SEC-94,36.46,-1.18,Prague,Supply Depot,High
SEC-55,37.29,0.99,Paris,Water Treatment Plant,Extreme
SEC-21,57.03,27.78,Copenhagen,Supply Depot,Extreme
SEC-38,46.39,5.65,Berlin,Embassy Annex,Medium
SEC-80,58.84,15.94,Copenhagen,Embassy Annex,High
SEC-95,35.50,16.65,Warsaw,Communications Tower,Extreme
SEC-54,43.26,17.50,Zurich,Power Grid Substation,High
SEC-23,36.15,12.48,Zurich,Communications Tower,Extreme
SEC-90,58.48,-5.06,Madrid,Railway Junction,Extreme
SEC-73,47.08,4.11,Prague,Power Grid Substation,Low
SEC-41,47.56,-7.32,Brussels,Water Treatment Plant,Low
SEC-44,59.85,17.46,Brussels,Embassy Annex,High
SEC-44,46.45,6.92,Geneva,Power Grid Substation,Medium
SEC-43,40.42,25.43,Madrid,Supply Depot,Medium
SEC-21,49.80,-7.38,Madrid,Railway Junction,Extreme
SEC-78,45.68,-4.45,Vienna,Railway Junction,Low
SEC-39,45.91,13.56,Zurich,Embassy Annex,Extreme
SEC-62,54.70,25.63,Rome,Embassy Annex,Extreme
SEC-96,49.87,6.60,Warsaw,Embassy Annex,Medium
SEC-16,39.81,21.92,Madrid,Communications Tower,High
SEC-54,43.70,25.67,Madrid,Power Grid Substation,Medium
SEC-58,56.40,-5.60,Copenhagen,Supply Depot,Medium
SEC-39,51.43,2.04,Paris,Power Grid Substation,Low
SEC-36,58.61,15.55,Zurich,Embassy Annex,Medium
SEC-96,53.06,5.02,Rome,Power Grid Substation,High
SEC-12,59.37,16.04,Madrid,Power Grid Substation,High
SEC-72,52.24,-1.14,Brussels,Railway Junction,Low
SEC-53,38.68,26.81,London,Water Treatment Plant,High
SEC-34,50.60,2.41,Rome,Embassy Annex,Medium
SEC-29,55.11,5.13,Madrid,Railway Junction,Low
SEC-56,35.05,26.59,Geneva,Water Treatment Plant,High
SEC-22,35.60,3.47,Zurich,Communications Tower,Medium
SEC-61,38.55,20.35,Copenhagen,Embassy Annex,Extreme
SEC-97,45.83,13.13,Brussels,Supply Depot,Low
SEC-24,46.65,12.76,Prague,Embassy Annex,High
SEC-37,49.75,18.56,Rome,Communications Tower,Medium
SEC-78,49.40,16.62,Berlin,Communications Tower,High
SEC-80,53.09,-2.54,Vienna,Communications Tower,High
SEC-12,49.40,-0.02,Copenhagen,Railway Junction,Extreme
SEC-23,35.83,-5.13,Vienna,Communications Tower,Low
SEC-82,59.97,5.45,London,Power Grid Substation,Medium
SEC-86,53.39,7.05,Copenhagen,Water Treatment Plant,Low
SEC-30,46.18,13.21,Madrid,Embassy Annex,Medium
SEC-17,37.72,28.29,Paris,Water Treatment Plant,Medium
SEC-68,42.75,24.82,Paris,Supply Depot,Extreme
SEC-89,35.56,10.41,Warsaw,Supply Depot,Extreme
SEC-19,40.88,17.82,Paris,Railway Junction,High
SEC-83,55.13,8.44,Brussels,Water Treatment Plant,High
SEC-86,42.31,9.25,Paris,Water Treatment Plant,Medium
SEC-41,47.19,1.38,Geneva,Supply Depot,Low
SEC-31,35.12,28.62,Berlin,Communications Tower,Extreme
SEC-97,36.90,12.06,London,Railway Junction,Low
SEC-87,48.32,11.78,Berlin,Railway Junction,High
SEC-63,52.16,16.53,Vienna,Communications Tower,Extreme
SEC-88,51.41,-2.21,Prague,Railway Junction,Medium
SEC-35,46.63,-5.35,Prague,Water Treatment Plant,Low
SEC-21,45.66,23.11,Berlin,Communications Tower,Extreme
SEC-92,39.63,-6.74,Paris,Supply Depot,Extreme
SEC-99,58.09,12.59,Madrid,Water Treatment Plant,Extreme
SEC-97,52.67,1.02,Geneva,Communications Tower,Medium
SEC-66,59.48,7.96,Zurich,Railway Junction,High
SEC-79,40.80,24.38,Prague,Communications Tower,Extreme
SEC-15,44.74,-0.96,Prague,Embassy Annex,Extreme
SEC-19,54.66,12.07,Brussels,Communications Tower,Extreme
SEC-75,46.05,9.29,Rome,Water Treatment Plant,High
SEC-51,40.55,23.88,Paris,Power Grid Substation,Low
SEC-51,35.12,4.35,Geneva,Embassy Annex,Medium
SEC-98,45.99,-3.44,Madrid,Railway Junction,High
SEC-84,51.77,13.58,Zurich,Power Grid Substation,Low
SEC-86,49.66,27.82,Berlin,Railway Junction,Low
SEC-26,56.16,12.30,Brussels,Embassy Annex,Low
SEC-65,56.87,15.50,Vienna,Embassy Annex,Medium
SEC-78,40.27,16.59,Rome,Power Grid Substation,Medium
SEC-41,51.35,3.56,Rome,Embassy Annex,Low
SEC-19,39.36,20.47,Warsaw,Power Grid Substation,Medium
SEC-72,51.87,7.43,Copenhagen,Railway Junction,High
SEC-59,36.57,-0.91,Zurich,Railway Junction,Extreme
SEC-96,55.09,-3.27,Berlin,Communications Tower,High
SEC-17,48.84,19.53,Copenhagen,Water Treatment Plant,Extreme
SEC-94,35.61,27.32,Rome,Supply Depot,Medium
SEC-79,55.62,16.25,Warsaw,Supply Depot,Low
SEC-75,56.93,7.77,Paris,Water Treatment Plant,Extreme
SEC-88,59.74,11.07,Berlin,Embassy Annex,Extreme
SEC-69,53.15,-6.95,Copenhagen,Water Treatment Plant,High
SEC-53,35.89,-2.14,Berlin,Railway Junction,Extreme
SEC-56,52.59,7.25,Warsaw,Power Grid Substation,Extreme
SEC-37,55.78,0.41,Zurich,Supply Depot,Medium
SEC-56,55.94,14.81,Warsaw,Water Treatment Plant,Extreme
SEC-19,55.40,-2.66,Madrid,Water Treatment Plant,Medium
SEC-45,39.79,26.44,Berlin,Communications Tower,High
SEC-84,59.70,23.98,Rome,Power Grid Substation,Medium
SEC-29,56.51,4.26,Zurich,Communications Tower,Extreme
SEC-96,50.09,21.97,Copenhagen,Communications Tower,High
SEC-59,37.97,23.35,London,Communications Tower,Extreme
SEC-77,56.18,21.75,London,Embassy Annex,Medium
SEC-28,54.57,-9.73,Vienna,Railway Junction,High
SEC-43,42.58,3.86,Copenhagen,Communications Tower,Extreme
SEC-54,54.57,-5.65,Warsaw,Embassy Annex,Low
SEC-50,50.40,5.83,Vienna,Communications Tower,Low
SEC-10,41.01,-5.54,Copenhagen,Water Treatment Plant,High
SEC-21,56.99,-3.84,Berlin,Embassy Annex,Extreme
SEC-37,55.10,-0.52,Paris,Supply Depot,Low
SEC-25,51.89,18.77,London,Supply Depot,Medium
SEC-53,47.44,-8.92,Berlin,Supply Depot,Medium
SEC-68,38.34,9.71,Madrid,Embassy Annex,High
SEC-84,51.90,9.02,Prague,Supply Depot,Medium
SEC-33,43.62,24.00,Geneva,Railway Junction,Medium
SEC-67,59.16,4.03,Copenhagen,Supply Depot,Low
SEC-36,40.08,-4.63,Berlin,Power Grid Substation,Low
SEC-75,37.43,14.65,Rome,Communications Tower,High
SEC-49,44.90,0.03,Rome,Railway Junction,High
SEC-24,36.87,-7.34,Vienna,Power Grid Substation,High
SEC-62,54.03,6.74,Rome,Power Grid Substation,Extreme
SEC-23,38.17,7.86,Rome,Supply Depot,Extreme
SEC-21,58.99,-0.52,Berlin,Water Treatment Plant,High
SEC-55,56.13,27.31,Rome,Water Treatment Plant,Medium
SEC-22,49.08,9.67,Zurich,Water Treatment Plant,Extreme
SEC-72,53.06,16.60,Geneva,Railway Junction,Extreme
SEC-46,40.18,8.98,Warsaw,Power Grid Substation,Extreme
SEC-20,46.58,3.10,London,Supply Depot,Medium
SEC-33,48.86,28.26,Prague,Railway Junction,Medium
SEC-79,55.73,9.10,Geneva,Railway Junction,High
SEC-68,43.08,20.22,Geneva,Water Treatment Plant,High
SEC-89,38.90,11.87,Copenhagen,Supply Depot,Extreme
SEC-29,55.15,-5.79,Prague,Embassy Annex,Medium
SEC-61,42.78,0.44,London,Communications Tower,Low
SEC-58,49.99,-2.53,London,Supply Depot,High
SEC-81,42.10,24.34,Zurich,Embassy Annex,Low
SEC-67,47.57,14.71,Geneva,Water Treatment Plant,Low
SEC-68,36.01,7.81,Vienna,Embassy Annex,High
SEC-53,49.76,10.07,Rome,Railway Junction,Low
SEC-54,48.65,3.64,Madrid,Communications Tower,High
SEC-52,38.48,-4.19,Vienna,Supply Depot,Low
SEC-27,38.89,18.21,Zurich,Railway Junction,Medium
SEC-66,37.09,12.91,Warsaw,Railway Junction,Medium
SEC-10,48.93,26.46,Paris,Embassy Annex,Medium
SEC-93,39.46,4.09,Zurich,Supply Depot,High
SEC-33,58.52,24.49,Zurich,Supply Depot,High
SEC-25,38.54,27.05,Warsaw,Supply Depot,Low
SEC-16,41.74,2.53,Geneva,Power Grid Substation,Medium
SEC-23,58.08,4.29,Berlin,Railway Junction,Medium
SEC-16,46.70,0.84,Zurich,Supply Depot,Medium
SEC-81,35.50,28.76,Vienna,Embassy Annex,High
SEC-72,40.89,17.33,Zurich,Water Treatment Plant,Low
SEC-62,49.01,25.15,Rome,Embassy Annex,Extreme
SEC-32,47.84,18.38,Zurich,Water Treatment Plant,Medium
SEC-97,57.46,28.32,Copenhagen,Communications Tower,Medium
SEC-65,37.40,8.56,Prague,Supply Depot,High
SEC-49,49.40,13.58,Zurich,Embassy Annex,High
SEC-77,52.50,20.91,Zurich,Water Treatment Plant,Medium
SEC-82,54.37,27.48,Zurich,Power Grid Substation,High
SEC-71,45.46,12.47,Copenhagen,Embassy Annex,Low
SEC-86,58.28,21.15,Brussels,Supply Depot,Low
SEC-50,52.64,-6.68,Berlin,Power Grid Substation,Low
SEC-21,44.43,-4.75,Zurich,Railway Junction,High
SEC-92,48.90,-0.92,Warsaw,Embassy Annex,Medium
SEC-78,37.64,-5.63,Prague,Communications Tower,Medium
SEC-28,41.51,1.69,Prague,Power Grid Substation,Low
SEC-91,44.51,-7.31,London,Embassy Annex,Medium
SEC-80,36.96,3.21,London,Embassy Annex,Low
SEC-45,42.03,14.70,Copenhagen,Communications Tower,Medium
SEC-74,54.39,-0.08,London,Embassy Annex,Extreme
SEC-76,43.93,-9.83,London,Embassy Annex,Medium
SEC-91,52.88,-2.93,Brussels,Water Treatment Plant,Extreme
SEC-25,51.95,-7.25,Copenhagen,Railway Junction,Extreme
SEC-49,37.84,17.52,Brussels,Communications Tower,Medium
SEC-45,51.95,-5.61,Madrid,Communications Tower,High
SEC-36,55.62,13.43,Rome,Water Treatment Plant,Extreme
SEC-88,47.15,13.87,Madrid,Railway Junction,Extreme
SEC-21,51.81,-1.50,Copenhagen,Railway Junction,High
SEC-43,43.03,-3.94,Geneva,Water Treatment Plant,High
SEC-89,54.54,4.20,Paris,Communications Tower,High
SEC-49,56.63,9.43,Warsaw,Embassy Annex,Medium
SEC-23,47.83,17.68,Paris,Railway Junction,Extreme
SEC-59,54.51,-1.15,Vienna,Communications Tower,Extreme
SEC-66,38.80,6.55,Vienna,Communications Tower,High
SEC-41,38.11,9.78,Paris,Power Grid Substation,High
SEC-33,38.17,26.30,Berlin,Water Treatment Plant,Medium
SEC-46,40.69,12.54,London,Communications Tower,High
SEC-70,55.74,22.67,Rome,Embassy Annex,Medium
SEC-14,47.54,18.86,Vienna,Power Grid Substation,High
SEC-97,40.36,7.42,Madrid,Communications Tower,Medium
SEC-70,38.23,-9.96,Warsaw,Communications Tower,Extreme
SEC-21,47.97,13.24,Geneva,Embassy Annex,Low
SEC-99,57.40,17.98,Rome,Water Treatment Plant,Extreme
SEC-48,44.11,-1.21,Prague,Power Grid Substation,Medium
SEC-71,47.35,-7.74,Geneva,Railway Junction,Extreme
SEC-46,54.00,23.59,Brussels,Power Grid Substation,Medium
SEC-64,41.15,19.30,Madrid,Power Grid Substation,Medium
SEC-41,45.83,12.34,London,Embassy Annex,Low
SEC-76,42.62,16.88,London,Supply Depot,High
SEC-52,41.74,15.35,Brussels,Power Grid Substation,Low
SEC-63,36.09,13.81,London,Communications Tower,Extreme
SEC-13,55.96,-1.71,Vienna,Water Treatment Plant,Low
SEC-42,40.52,10.22,Brussels,Embassy Annex,Low
SEC-63,43.39,22.62,Zurich,Water Treatment Plant,Extreme
SEC-27,42.00,27.14,Prague,Supply Depot,High
SEC-68,41.57,29.24,Madrid,Water Treatment Plant,Low
SEC-10,54.28,24.30,Vienna,Embassy Annex,Low
SEC-31,40.02,-2.21,Berlin,Railway Junction,High
SEC-27,50.62,28.74,London,Water Treatment Plant,High
SEC-75,56.90,-3.20,Rome,Embassy Annex,Extreme
SEC-91,52.06,-2.01,Vienna,Railway Junction,Medium
SEC-86,58.34,-8.26,Prague,Communications Tower,Low
SEC-97,47.43,22.09,Paris,Supply Depot,High
SEC-23,37.83,1.45,Prague,Supply Depot,Extreme
SEC-61,53.78,0.69,Prague,Railway Junction,Extreme
SEC-67,59.26,14.16,Berlin,Supply Depot,Low
SEC-80,35.57,22.43,Vienna,Power Grid Substation,Extreme
SEC-97,47.58,17.40,London,Communications Tower,High
SEC-71,37.98,8.46,Brussels,Embassy Annex,Medium
SEC-93,43.21,16.78,Rome,Railway Junction,Medium
SEC-60,47.96,9.07,Brussels,Communications Tower,High
SEC-48,51.67,2.30,Paris,Supply Depot,Medium
SEC-50,36.65,26.15,Vienna,Supply Depot,Low
SEC-24,35.85,1.45,Madrid,Supply Depot,High
SEC-28,36.19,23.96,Warsaw,Power Grid Substation,Extreme
SEC-84,40.96,-6.91,Paris,Supply Depot,High
SEC-68,46.69,1.46,Paris,Supply Depot,Low
SEC-94,49.27,12.04,Paris,Embassy Annex,Extreme
SEC-93,58.42,-8.61,Vienna,Power Grid Substation,Extreme
SEC-75,35.15,16.59,Zurich,Power Grid Substation,Extreme
SEC-65,37.39,-6.06,Warsaw,Communications Tower,Extreme
SEC-53,35.24,1.00,Berlin,Communications Tower,Low
SEC-57,48.17,19.90,Madrid,Railway Junction,Extreme
SEC-93,40.16,-0.16,Prague,Communications Tower,Extreme
SEC-91,51.70,1.61,Brussels,Power Grid Substation,Extreme
SEC-98,51.23,22.68,Warsaw,Power Grid Substation,Medium
SEC-88,54.26,19.31,Madrid,Communications Tower,Medium
SEC-13,56.37,14.15,Vienna,Power Grid Substation,Medium
SEC-61,39.11,-6.68,Rome,Railway Junction,Low
SEC-57,44.61,0.28,Madrid,Supply Depot,High
SEC-82,35.09,28.30,Brussels,Embassy Annex,Extreme
SEC-12,48.12,16.54,Madrid,Communications Tower,High
SEC-19,43.31,-7.85,Vienna,Railway Junction,Medium
SEC-11,48.80,25.73,Rome,Water Treatment Plant,Medium
SEC-85,47.06,5.39,Berlin,Railway Junction,Low
SEC-48,52.95,-3.59,Geneva,Communications Tower,Medium
SEC-76,39.91,-9.58,Madrid,Communications Tower,High
SEC-70,45.20,-4.49,Copenhagen,Railway Junction,Medium
SEC-53,43.93,2.85,Berlin,Power Grid Substation,High
SEC-39,58.99,24.83,London,Water Treatment Plant,Extreme
SEC-96,45.46,9.97,Prague,Communications Tower,Medium
SEC-99,51.91,8.72,Brussels,Embassy Annex,High
SEC-57,41.35,1.86,Prague,Embassy Annex,Medium
SEC-62,36.27,-3.47,Brussels,Power Grid Substation,Medium
SEC-93,50.64,8.91,Warsaw,Supply Depot,Medium
SEC-87,40.61,20.94,Paris,Supply Depot,Low
SEC-98,54.36,-5.16,Rome,Embassy Annex,Medium
SEC-95,51.32,18.74,London,Railway Junction,High
SEC-88,57.09,0.67,London,Water Treatment Plant,High
SEC-62,53.27,18.41,London,Embassy Annex,Extreme
SEC-68,45.78,9.53,Berlin,Communications Tower,Low
SEC-44,50.55,7.03,Brussels,Supply Depot,Low
SEC-21,42.06,-7.22,London,Supply Depot,Low
SEC-57,40.16,12.06,London,Power Grid Substation,High
SEC-61,57.09,22.50,Paris,Embassy Annex,Low
SEC-37,50.08,8.41,London,Power Grid Substation,Extreme
SEC-93,46.09,-9.19,Prague,Water Treatment Plant,Extreme
SEC-17,42.17,18.43,Zurich,Supply Depot,Extreme
SEC-54,45.38,24.69,Warsaw,Communications Tower,Low
SEC-74,46.75,5.91,Geneva,Supply Depot,Low
SEC-14,55.30,-5.64,London,Railway Junction,Medium
SEC-85,41.57,11.80,Prague,Communications Tower,Medium
SEC-63,59.01,13.50,Zurich,Supply Depot,Low
SEC-64,45.35,3.19,Paris,Communications Tower,Low
SEC-81,57.25,7.33,Berlin,Supply Depot,Medium
SEC-48,49.12,1.41,Warsaw,Communications Tower,High
SEC-29,49.59,-7.23,Vienna,Water Treatment Plant,Low
SEC-41,56.00,9.75,Geneva,Water Treatment Plant,Medium
SEC-18,37.19,23.17,Madrid,Power Grid Substation,Low
SEC-72,54.25,15.88,Brussels,Embassy Annex,Extreme
SEC-32,46.10,24.64,Prague,Water Treatment Plant,Medium
SEC-61,35.09,-7.50,Paris,Water Treatment Plant,Low
SEC-50,44.87,29.22,Vienna,Embassy Annex,Extreme
SEC-80,45.53,-3.59,Warsaw,Communications Tower,Low
SEC-40,41.67,23.64,London,Embassy Annex,Low
SEC-53,58.37,12.70,Paris,Supply Depot,Low
SEC-81,36.57,21.52,London,Water Treatment Plant,Low
SEC-91,50.86,24.64,Brussels,Power Grid Substation,Low
SEC-21,55.83,26.21,Brussels,Communications Tower,High
SEC-38,48.27,6.81,Zurich,Railway Junction,Medium
SEC-57,40.88,4.73,Berlin,Power Grid Substation,Low
SEC-59,35.99,-8.76,Prague,Water Treatment Plant,High
SEC-74,42.40,0.08,Geneva,Communications Tower,Medium
SEC-96,51.73,27.52,Copenhagen,Power Grid Substation,Medium
SEC-50,49.73,-8.59,Berlin,Water Treatment Plant,Low
SEC-54,39.30,14.08,Warsaw,Water Treatment Plant,High
SEC-56,39.21,4.76,Paris,Embassy Annex,Low
SEC-14,41.91,20.99,London,Communications Tower,High
SEC-13,38.14,3.90,Geneva,Power Grid Substation,Low
SEC-89,40.13,28.10,London,Power Grid Substation,High
SEC-41,49.41,8.81,Prague,Power Grid Substation,High
SEC-24,57.43,29.01,Madrid,Railway Junction,Low
SEC-15,38.56,20.82,Brussels,Supply Depot,High
SEC-65,53.71,-0.14,Prague,Water Treatment Plant,Medium
SEC-80,42.64,26.20,Paris,Communications Tower,Extreme
SEC-62,45.71,25.69,Zurich,Supply Depot,High
SEC-91,38.60,2.01,London,Water Treatment Plant,Extreme
SEC-19,36.43,-1.78,Madrid,Communications Tower,High
SEC-12,46.67,-4.26,Brussels,Embassy Annex,High
SEC-43,49.86,5.87,Berlin,Water Treatment Plant,Extreme
SEC-79,37.37,20.53,Berlin,Supply Depot,Extreme
SEC-30,51.17,12.28,Rome,Embassy Annex,Extreme
SEC-11,59.24,28.93,Brussels,Embassy Annex,High
SEC-28,47.52,1.11,Geneva,Railway Junction,Low
SEC-13,51.35,13.06,Warsaw,Embassy Annex,Low
SEC-61,49.83,8.31,Warsaw,Railway Junction,High
SEC-73,50.43,14.02,Vienna,Railway Junction,Low
SEC-20,43.20,0.78,Warsaw,Power Grid Substation,High
SEC-92,37.64,14.10,Zurich,Railway Junction,Extreme
SEC-14,55.65,17.16,Berlin,Embassy Annex,High
SEC-96,46.53,-7.16,Warsaw,Communications Tower,Low
SEC-29,47.43,29.76,Madrid,Water Treatment Plant,High
